Order ID,Buyer,Gig Title,Amount,Currency,Date,Type
FO215987C4E08,jooacri,do perfect word art typography letteringlogo,16.0,USD,2021-10-02,Funds Cleared
Not Available,tayabanoreen786,Not Available,552.72,USD,2021-10-02,Withdrawal Completed Successfully
Not Available,tayabanoreen786,Not Available,-552.72,USD,2021-10-02,Withdrawal Initiated
FO71E2DCDC047,savage_nz,design an amazing  word art or put words in any shape,8.0,USD,2021-09-27,Funds Cleared
FO4CEE3DB8C2,lauvanady2,design an amazing  word art or put words in any shape,12.0,USD,2021-09-27,Funds Cleared
FO41139BCCD84,lauvanady2,do amazing and beautiful word art and word cloud art,32.0,USD,2021-09-24,Funds Cleared
FO415871FB706,awesum711,do amazing and beautiful word art and word cloud art,4.0,USD,2021-09-23,Funds Cleared
FO21149046786,rhsupreme,do perfect word art typography letteringlogo,32.0,USD,2021-09-18,Order Revenue
FO215987C4E08,jooacri,do perfect word art typography letteringlogo,16.0,USD,2021-09-16,Order Revenue
FO4156966C786,bpahealth,design an amazing  word art or put words in any shape,52.0,USD,2021-09-14,Funds Cleared
FO71E2DCDC047,savage_nz,design an amazing  word art or put words in any shape,8.0,USD,2021-09-13,Order Revenue
FO4CEE3DB8C2,lauvanady2,design an amazing  word art or put words in any shape,12.0,USD,2021-09-12,Order Revenue
FO41139BCCD84,lauvanady2,do amazing and beautiful word art and word cloud art,32.0,USD,2021-09-09,Order Revenue
FO415871FB706,awesum711,do amazing and beautiful word art and word cloud art,4.0,USD,2021-09-09,Order Revenue
FO4156966C786,bpahealth,design an amazing  word art or put words in any shape,52.0,USD,2021-08-27,Order Revenue
FO3885EB7641,tayabanoreen786,do your machine learning and deep learning works,-5.0,USD,2021-08-15,Gig Purchased from Revenues
FO143AAD7401,anastaciamiller,design an amazing  word art or put words in any shape,5.6,USD,2021-08-11,Funds Cleared
FO315015A2B07,solveglobalwarm,do amazing word art word in shape or typography design,40.0,USD,2021-08-01,Funds Cleared
FO143AAD7401,anastaciamiller,design an amazing  word art or put words in any shape,5.6,USD,2021-07-27,Order Revenue
FO710CB96AD81,barrags,design an amazing  word art or put words in any shape,8.0,USD,2021-07-23,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-07-21,Funds Cleared
FO8192AE636C4,fedagnt,do amazing word art word in shape or typography design,8.0,USD,2021-07-21,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-07-19,Funds Cleared
FO3861B2DA41,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-07-19,Funds Cleared
FO614F31E4584,monaeb100,design an amazing  word art or put words in any shape,8.0,USD,2021-07-18,Funds Cleared
FO710B8476F81,sonnguyen664,design an amazing  word art or put words in any shape,8.0,USD,2021-07-16,Funds Cleared
FO315015A2B07,solveglobalwarm,do amazing word art word in shape or typography design,40.0,USD,2021-07-10,Order Revenue
FO710CB96AD81,barrags,design an amazing  word art or put words in any shape,8.0,USD,2021-07-09,Order Revenue
Not Available,fedagnt,Tip,4.0,USD,2021-07-07,Order Revenue
FO8192AE636C4,fedagnt,do amazing word art word in shape or typography design,8.0,USD,2021-07-07,Order Revenue
